dep_delay,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,time_hour,airline_name,flight_date,departure_time,arrival_time,dep_delay_status,distance_category
0,-4,B6,1806,N708JB,JFK,BOS,44,187,01-01-2013 05:00,Jetblue Airways,01-01-2013,05:59:00 AM,07:02:00 AM,On Time,Short Haul
-1,-8,UA,1187,N76515,EWR,LAS,337,2227,01-01-2013 06:00,United Air Lines Inc.,01-01-2013,05:59:00 AM,08:54:00 AM,On Time,Long Haul
0,-7,B6,371,N595JB,LGA,FLL,152,1076,01-01-2013 06:00,Jetblue Airways,01-01-2013,06:00:00 AM,08:51:00 AM,On Time,Medium  Haul
0,12,MQ,4650,N542MQ,LGA,ATL,134,762,01-01-2013 06:00,Envoy Air,01-01-2013,06:00:00 AM,08:37:00 AM,On Time,Medium  Haul
1,-6,B6,343,N644JB,EWR,PBI,147,1023,01-01-2013 06:00,Jetblue Airways,01-01-2013,06:01:00 AM,08:44:00 AM,Delayed,Medium  Haul
-8,-8,DL,1919,N971DL,LGA,MSP,170,1020,01-01-2013 06:00,Delta Air Lines Inc.,01-01-2013,06:02:00 AM,08:12:00 AM,On Time,Medium  Haul
-3,16,MQ,4401,N730MQ,LGA,DTW,105,502,01-01-2013 06:00,Envoy Air,01-01-2013,06:02:00 AM,08:21:00 AM,On Time,Medium  Haul
-4,-12,AA,1895,N633AA,EWR,MIA,152,1085,01-01-2013 06:00,American Airlines Inc.,01-01-2013,06:06:00 AM,08:58:00 AM,On Time,Medium  Haul
-4,-8,DL,1743,N3739P,JFK,ATL,128,760,01-01-2013 06:00,Delta Air Lines Inc.,01-01-2013,06:06:00 AM,08:37:00 AM,On Time,Medium  Haul
0,-17,UA,1077,N53442,EWR,MIA,157,1085,01-01-2013 06:00,United Air Lines Inc.,01-01-2013,06:07:00 AM,08:58:00 AM,On Time,Medium  Haul
8,32,MQ,3768,N9EAMQ,EWR,ORD,139,719,01-01-2013 06:00,Envoy Air,01-01-2013,06:08:00 AM,08:07:00 AM,Delayed,Medium  Haul
11,14,UA,303,N532UA,JFK,SFO,366,2586,01-01-2013 06:00,United Air Lines Inc.,01-01-2013,06:11:00 AM,09:45:00 AM,Delayed,Long Haul
3,4,B6,135,N635JB,JFK,RSW,175,1074,01-01-2013 06:00,Jetblue Airways,01-01-2013,06:13:00 AM,09:25:00 AM,Delayed,Medium  Haul
0,-21,B6,709,N794JB,JFK,SJU,182,1598,01-01-2013 06:00,Jetblue Airways,01-01-2013,06:15:00 AM,10:39:00 AM,On Time,Long Haul
0,-9,DL,575,N326NB,EWR,ATL,120,746,01-01-2013 06:00,Delta Air Lines Inc.,01-01-2013,06:15:00 AM,08:33:00 AM,On Time,Medium  Haul
-8,3,US,245,N807AW,EWR,PHX,342,2133,01-01-2013 06:00,Us Airways Inc.,01-01-2013,06:22:00 AM,10:17:00 AM,On Time,Long Haul
13,5,AA,1837,N3EMAA,LGA,MIA,153,1096,01-01-2013 06:00,American Airlines Inc.,01-01-2013,06:23:00 AM,09:20:00 AM,Delayed,Medium  Haul
-4,1,UA,496,N459UA,LGA,IAH,229,1416,01-01-2013 06:00,United Air Lines Inc.,01-01-2013,06:23:00 AM,09:33:00 AM,On Time,Medium  Haul
-6,29,EV,4626,N11107,EWR,MSP,190,1008,01-01-2013 06:00,Expressjet Airlines Inc.,01-01-2013,06:24:00 AM,09:09:00 AM,On Time,Medium  Haul
-6,10,MQ,4599,N518MQ,LGA,MSP,166,1020,01-01-2013 06:00,Envoy Air,01-01-2013,06:24:00 AM,08:40:00 AM,On Time,Medium  Haul
-3,0,US,27,N535UW,JFK,PHX,330,2153,01-01-2013 06:00,Us Airways Inc.,01-01-2013,06:27:00 AM,10:18:00 AM,On Time,Long Haul
-2,-3,AA,413,N3BAAA,JFK,SJU,192,1598,01-01-2013 06:00,American Airlines Inc.,01-01-2013,06:28:00 AM,11:37:00 AM,On Time,Long Haul
-2,29,UA,1665,N33289,EWR,LAX,366,2454,01-01-2013 06:00,United Air Lines Inc.,01-01-2013,06:28:00 AM,10:16:00 AM,On Time,Long Haul
-1,14,AA,303,N3CYAA,LGA,ORD,140,733,01-01-2013 06:00,American Airlines Inc.,01-01-2013,06:29:00 AM,08:24:00 AM,On Time,Medium  Haul
-1,-19,WN,4646,N273WN,LGA,BWI,40,185,01-01-2013 06:00,Southwest Airlines Co.,01-01-2013,06:29:00 AM,07:21:00 AM,On Time,Short Haul
-1,-9,US,1019,N426US,EWR,CLT,91,529,01-01-2013 06:00,Us Airways Inc.,01-01-2013,06:29:00 AM,08:24:00 AM,On Time,Medium  Haul
24,12,EV,4144,N13553,EWR,IAD,52,212,01-01-2013 06:00,Expressjet Airlines Inc.,01-01-2013,06:32:00 AM,07:40:00 AM,Delayed,Short Haul
0,48,AA,711,N3GKAA,LGA,DFW,248,1389,01-01-2013 06:00,American Airlines Inc.,01-01-2013,06:35:00 AM,10:28:00 AM,On Time,Medium  Haul
-8,-5,B6,389,N709JB,LGA,MCO,144,950,01-01-2013 06:00,Jetblue Airways,01-01-2013,06:37:00 AM,09:30:00 AM,On Time,Medium  Haul
-1,-10,B6,1002,N805JB,JFK,BOS,41,187,01-01-2013 06:00,Jetblue Airways,01-01-2013,06:39:00 AM,07:39:00 AM,On Time,Short Haul
-3,-18,UA,556,N497UA,EWR,PBI,146,1023,01-01-2013 06:00,United Air Lines Inc.,01-01-2013,06:43:00 AM,09:22:00 AM,On Time,Medium  Haul
-2,-11,US,926,N178US,EWR,CLT,91,529,01-01-2013 06:00,Us Airways Inc.,01-01-2013,06:43:00 AM,08:37:00 AM,On Time,Medium  Haul
8,-9,UA,1701,N75435,EWR,FLL,151,1065,01-01-2013 06:00,United Air Lines Inc.,01-01-2013,06:44:00 AM,09:31:00 AM,Delayed,Medium  Haul
-2,5,B6,102,N796JB,JFK,BUF,63,301,01-01-2013 06:00,Jetblue Airways,01-01-2013,06:45:00 AM,08:15:00 AM,On Time,Short Haul
1,-6,UA,883,N569UA,LGA,DEN,243,1620,01-01-2013 06:00,United Air Lines Inc.,01-01-2013,06:46:00 AM,09:10:00 AM,Delayed,Long Haul
1,-7,UA,1496,N38727,EWR,SNA,380,2434,01-01-2013 06:00,United Air Lines Inc.,01-01-2013,06:46:00 AM,10:23:00 AM,Delayed,Long Haul
-4,-6,B6,203,N558JB,JFK,LAS,323,2248,01-01-2013 06:00,Jetblue Airways,01-01-2013,06:51:00 AM,09:36:00 AM,On Time,Long Haul
-3,11,B6,117,N178JB,JFK,MSY,191,1182,01-01-2013 06:00,Jetblue Airways,01-01-2013,06:52:00 AM,09:32:00 AM,On Time,Medium  Haul
-7,-33,DL,1383,N327NW,LGA,PBI,149,1035,01-01-2013 07:00,Delta Air Lines Inc.,01-01-2013,06:53:00 AM,09:36:00 AM,On Time,Medium  Haul
0,-9,DL,1415,N3763D,JFK,SLC,294,1990,01-01-2013 06:00,Delta Air Lines Inc.,01-01-2013,06:55:00 AM,10:21:00 AM,On Time,Long Haul
-5,-8,DL,1865,N705TW,JFK,SFO,362,2586,01-01-2013 07:00,Delta Air Lines Inc.,01-01-2013,06:55:00 AM,10:37:00 AM,On Time,Long Haul
-5,-18,DL,2003,N997DL,LGA,MIA,161,1096,01-01-2013 07:00,Delta Air Lines Inc.,01-01-2013,06:55:00 AM,10:02:00 AM,On Time,Medium  Haul
-4,4,AA,305,N4WNAA,LGA,ORD,143,733,01-01-2013 07:00,American Airlines Inc.,01-01-2013,06:56:00 AM,08:54:00 AM,On Time,Medium  Haul
-3,-10,AA,1815,N5FMAA,JFK,MCO,142,944,01-01-2013 06:00,American Airlines Inc.,01-01-2013,06:56:00 AM,09:49:00 AM,On Time,Medium  Haul
-9,27,MQ,4534,N722MQ,LGA,XNA,233,1147,01-01-2013 07:00,Envoy Air,01-01-2013,06:56:00 AM,10:07:00 AM,On Time,Medium  Haul
-4,-23,UA,1115,N24212,EWR,TPA,156,997,01-01-2013 07:00,United Air Lines Inc.,01-01-2013,06:56:00 AM,09:48:00 AM,On Time,Medium  Haul
-3,-14,DL,1879,N318NB,LGA,FLL,164,1076,01-01-2013 07:00,Delta Air Lines Inc.,01-01-2013,06:57:00 AM,09:59:00 AM,On Time,Medium  Haul
-2,5,DL,1547,N6703D,LGA,ATL,126,762,01-01-2013 07:00,Delta Air Lines Inc.,01-01-2013,06:58:00 AM,09:44:00 AM,On Time,Medium  Haul
-2,2,VX,399,N627VA,JFK,LAX,361,2475,01-01-2013 07:00,Virgin America,01-01-2013,06:58:00 AM,10:27:00 AM,On Time,Long Haul
-1,-7,AA,2279,N3EKAA,LGA,MIA,159,1096,01-01-2013 07:00,American Airlines Inc.,01-01-2013,06:59:00 AM,10:08:00 AM,On Time,Medium  Haul
-1,1,B6,981,N646JB,JFK,FLL,156,1069,01-01-2013 07:00,Jetblue Airways,01-01-2013,06:59:00 AM,10:08:00 AM,On Time,Medium  Haul
-6,-6,DL,831,N998DL,LGA,DTW,105,502,01-01-2013 07:00,Delta Air Lines Inc.,01-01-2013,06:59:00 AM,09:07:00 AM,On Time,Medium  Haul
-1,-9,UA,960,N838UA,EWR,RSW,164,1068,01-01-2013 07:00,United Air Lines Inc.,01-01-2013,06:59:00 AM,09:59:00 AM,On Time,Medium  Haul
1,-31,UA,1203,N77296,EWR,SJU,188,1608,01-01-2013 07:00,United Air Lines Inc.,01-01-2013,07:01:00 AM,11:23:00 AM,Delayed,Long Haul
2,44,B6,671,N779JB,JFK,LAX,381,2475,01-01-2013 07:00,Jetblue Airways,01-01-2013,07:02:00 AM,10:58:00 AM,Delayed,Long Haul
9,20,UA,1092,N26226,LGA,ORD,135,733,01-01-2013 07:00,United Air Lines Inc.,01-01-2013,07:09:00 AM,08:52:00 AM,Delayed,Medium  Haul
-4,-15,B6,715,N651JB,JFK,SJU,190,1598,01-01-2013 07:00,Jetblue Airways,01-01-2013,07:11:00 AM,11:51:00 AM,On Time,Long Haul
-3,-12,AA,825,N3ETAA,JFK,FLL,159,1069,01-01-2013 07:00,American Airlines Inc.,01-01-2013,07:12:00 AM,10:23:00 AM,On Time,Medium  Haul
2,21,UA,544,N841UA,EWR,ORD,156,719,01-01-2013 07:00,United Air Lines Inc.,01-01-2013,07:15:00 AM,09:11:00 AM,Delayed,Medium  Haul
-3,10,FL,850,N978AT,LGA,MKE,134,738,01-01-2013 07:00,Airtran Airways Corporation,01-01-2013,07:17:00 AM,08:50:00 AM,On Time,Medium  Haul
-2,5,B6,987,N562JB,JFK,MCO,147,944,01-01-2013 07:00,Jetblue Airways,01-01-2013,07:19:00 AM,10:17:00 AM,On Time,Medium  Haul
-2,-4,UA,962,N514UA,EWR,PBI,153,1023,01-01-2013 07:00,United Air Lines Inc.,01-01-2013,07:23:00 AM,10:13:00 AM,On Time,Medium  Haul
-6,31,AA,715,N541AA,LGA,DFW,254,1389,01-01-2013 07:00,American Airlines Inc.,01-01-2013,07:24:00 AM,11:11:00 AM,On Time,Medium  Haul
-1,-10,AS,11,N594AS,EWR,SEA,338,2402,01-01-2013 07:00,Alaska Airlines Inc.,01-01-2013,07:24:00 AM,10:20:00 AM,On Time,Long Haul
-5,12,AA,2083,N4WRAA,EWR,DFW,238,1372,01-01-2013 07:00,American Airlines Inc.,01-01-2013,07:25:00 AM,10:52:00 AM,On Time,Medium  Haul
-3,7,UA,1162,N37462,EWR,DEN,254,1605,01-01-2013 07:00,United Air Lines Inc.,01-01-2013,07:27:00 AM,09:59:00 AM,On Time,Long Haul
-4,3,UA,473,N488UA,LGA,IAH,238,1416,01-01-2013 07:00,United Air Lines Inc.,01-01-2013,07:28:00 AM,10:41:00 AM,On Time,Medium  Haul
-1,-26,VX,11,N635VA,JFK,SFO,356,2586,01-01-2013 07:00,Virgin America,01-01-2013,07:29:00 AM,10:49:00 AM,On Time,Long Haul
-3,-1,B6,20,N304JB,JFK,ROC,64,264,01-01-2013 07:00,Jetblue Airways,01-01-2013,07:32:00 AM,08:57:00 AM,On Time,Short Haul
3,2,B6,1601,N563JB,LGA,RSW,167,1080,01-01-2013 07:00,Jetblue Airways,01-01-2013,07:32:00 AM,10:41:00 AM,Delayed,Medium  Haul
47,30,UA,1111,N37456,EWR,MCO,145,937,01-01-2013 06:00,United Air Lines Inc.,01-01-2013,07:32:00 AM,10:11:00 AM,Delayed,Medium  Haul
-3,4,B6,44,N552JB,JFK,SYR,54,209,01-01-2013 07:00,Jetblue Airways,01-01-2013,07:33:00 AM,08:54:00 AM,On Time,Short Haul
-3,-26,B6,643,N625JB,JFK,SFO,350,2586,01-01-2013 07:00,Jetblue Airways,01-01-2013,07:34:00 AM,10:47:00 AM,On Time,Long Haul
-6,-12,AA,309,N4WPAA,LGA,ORD,137,733,01-01-2013 07:00,American Airlines Inc.,01-01-2013,07:39:00 AM,09:18:00 AM,On Time,Medium  Haul
0,26,UA,1479,N37408,EWR,IAH,249,1400,01-01-2013 07:00,United Air Lines Inc.,01-01-2013,07:39:00 AM,11:04:00 AM,On Time,Medium  Haul
-4,2,B6,983,N633JB,LGA,TPA,158,1010,01-01-2013 07:00,Jetblue Airways,01-01-2013,07:41:00 AM,10:38:00 AM,On Time,Medium  Haul
13,7,AA,33,N338AA,JFK,LAX,358,2475,01-01-2013 07:00,American Airlines Inc.,01-01-2013,07:43:00 AM,11:07:00 AM,Delayed,Long Haul
-6,-11,B6,341,N624JB,JFK,SRQ,164,1041,01-01-2013 07:00,Jetblue Airways,01-01-2013,07:43:00 AM,10:43:00 AM,On Time,Medium  Haul
13,3,DL,495,N3760C,JFK,SEA,349,2422,01-01-2013 07:00,Delta Air Lines Inc.,01-01-2013,07:43:00 AM,10:59:00 AM,Delayed,Long Haul
0,10,AA,59,N336AA,JFK,SFO,378,2586,01-01-2013 07:00,American Airlines Inc.,01-01-2013,07:45:00 AM,11:35:00 AM,On Time,Long Haul
0,-10,UA,1668,N24224,EWR,SFO,373,2565,01-01-2013 07:00,United Air Lines Inc.,01-01-2013,07:46:00 AM,11:19:00 AM,On Time,Long Haul
39,49,MQ,3737,N508MQ,EWR,ORD,148,719,01-01-2013 07:00,Envoy Air,01-01-2013,07:49:00 AM,09:39:00 AM,Delayed,Medium  Haul
-3,-18,DL,2263,N325US,LGA,MCO,140,950,01-01-2013 07:00,Delta Air Lines Inc.,01-01-2013,07:52:00 AM,10:41:00 AM,On Time,Medium  Haul
2,-4,UA,477,N511UA,LGA,DEN,249,1620,01-01-2013 07:00,United Air Lines Inc.,01-01-2013,07:52:00 AM,10:25:00 AM,Delayed,Long Haul
-7,-4,US,1733,N543UW,LGA,CLT,96,544,01-01-2013 07:00,Us Airways Inc.,01-01-2013,07:52:00 AM,09:55:00 AM,On Time,Medium  Haul
-2,-14,AA,2267,N3HMAA,LGA,MIA,157,1096,01-01-2013 07:00,American Airlines Inc.,01-01-2013,07:53:00 AM,10:56:00 AM,On Time,Medium  Haul
-5,-2,DL,2047,N935DL,LGA,ATL,126,762,01-01-2013 07:00,Delta Air Lines Inc.,01-01-2013,07:54:00 AM,10:39:00 AM,On Time,Medium  Haul
-1,33,WN,733,N789SW,LGA,DEN,279,1620,01-01-2013 07:00,Southwest Airlines Co.,01-01-2013,07:54:00 AM,11:03:00 AM,On Time,Long Haul
-2,-1,B6,517,N645JB,EWR,MCO,142,937,01-01-2013 08:00,Jetblue Airways,01-01-2013,07:58:00 AM,10:53:00 AM,On Time,Medium  Haul
-1,-30,DL,1843,N955DL,JFK,MIA,158,1089,01-01-2013 08:00,Delta Air Lines Inc.,01-01-2013,07:59:00 AM,10:57:00 AM,On Time,Medium  Haul
0,8,DL,2119,N317US,LGA,MSP,171,1020,01-01-2013 08:00,Delta Air Lines Inc.,01-01-2013,08:00:00 AM,10:22:00 AM,On Time,Medium  Haul
-10,-6,MQ,4406,N828MQ,JFK,RDU,80,427,01-01-2013 08:00,Envoy Air,01-01-2013,08:00:00 AM,09:49:00 AM,On Time,Short Haul
-4,-19,B6,1172,N206JB,EWR,BOS,38,200,01-01-2013 08:00,Jetblue Airways,01-01-2013,08:01:00 AM,09:00:00 AM,On Time,Short Haul
-7,-22,AA,1838,N3GEAA,JFK,BOS,38,187,01-01-2013 08:00,American Airlines Inc.,01-01-2013,08:03:00 AM,09:03:00 AM,On Time,Short Haul
3,-12,UA,223,N510UA,JFK,SFO,369,2586,01-01-2013 08:00,United Air Lines Inc.,01-01-2013,08:03:00 AM,11:32:00 AM,Delayed,Long Haul
-6,-13,DL,1959,N947DL,JFK,MCO,147,944,01-01-2013 08:00,Delta Air Lines Inc.,01-01-2013,08:04:00 AM,11:03:00 AM,On Time,Medium  Haul
0,10,B6,219,N273JB,JFK,CLT,98,541,01-01-2013 08:00,Jetblue Airways,01-01-2013,08:05:00 AM,10:15:00 AM,On Time,Medium  Haul
5,12,B6,3,N570JB,JFK,FLL,165,1069,01-01-2013 08:00,Jetblue Airways,01-01-2013,08:05:00 AM,11:18:00 AM,Delayed,Medium  Haul
-10,-4,MQ,4490,N739MQ,LGA,CMH,101,479,01-01-2013 08:00,Envoy Air,01-01-2013,08:05:00 AM,10:06:00 AM,On Time,Short Haul
-3,0,DL,269,N308DE,JFK,ATL,126,760,01-01-2013 08:00,Delta Air Lines Inc.,01-01-2013,08:07:00 AM,10:43:00 AM,On Time,Medium  Haul
-6,-7,EV,4388,N14542,EWR,JAX,132,820,01-01-2013 08:00,Expressjet Airlines Inc.,01-01-2013,08:09:00 AM,10:43:00 AM,On Time,Medium  Haul
0,11,9E,3538,N915XJ,JFK,MSP,189,1029,01-01-2013 08:00,Endeavor Air Inc.,01-01-2013,08:10:00 AM,10:48:00 AM,On Time,Medium  Haul
-5,-28,DL,2395,N349NW,LGA,PBI,149,1035,01-01-2013 08:00,Delta Air Lines Inc.,01-01-2013,08:10:00 AM,11:00:00 AM,On Time,Medium  Haul
-4,-26,EV,4260,N11193,EWR,CHS,101,628,01-01-2013 08:00,Expressjet Airlines Inc.,01-01-2013,08:11:00 AM,10:06:00 AM,On Time,Medium  Haul
101,137,MQ,4576,N531MQ,LGA,CLT,118,544,01-01-2013 06:00,Envoy Air,01-01-2013,08:11:00 AM,10:47:00 AM,Delayed,Medium  Haul
-4,10,US,675,N654AW,EWR,CLT,96,529,01-01-2013 08:00,Us Airways Inc.,01-01-2013,08:11:00 AM,10:26:00 AM,On Time,Medium  Haul
-2,23,EV,4537,N17108,EWR,MEM,180,946,01-01-2013 08:00,Expressjet Airlines Inc.,01-01-2013,08:12:00 AM,10:40:00 AM,On Time,Medium  Haul
-2,7,DL,914,N375NC,LGA,DEN,267,1620,01-01-2013 08:00,Delta Air Lines Inc.,01-01-2013,08:13:00 AM,11:03:00 AM,On Time,Long Haul
4,17,FL,346,N977AT,LGA,ATL,132,762,01-01-2013 08:00,Airtran Airways Corporation,01-01-2013,08:14:00 AM,10:47:00 AM,Delayed,Medium  Haul
7,17,B6,1051,N228JB,JFK,PIT,86,340,01-01-2013 08:00,Jetblue Airways,01-01-2013,08:17:00 AM,10:05:00 AM,Delayed,Short Haul
0,-16,B6,717,N527JB,JFK,SJU,190,1598,01-01-2013 08:00,Jetblue Airways,01-01-2013,08:20:00 AM,12:54:00 PM,On Time,Long Haul
-10,-14,DL,27,N324US,JFK,BOS,36,187,01-01-2013 08:00,Delta Air Lines Inc.,01-01-2013,08:20:00 AM,09:40:00 AM,On Time,Short Haul
0,-40,DL,301,N900PC,JFK,SJU,182,1598,01-01-2013 08:00,Delta Air Lines Inc.,01-01-2013,08:20:00 AM,12:49:00 PM,On Time,Long Haul
1,24,B6,181,N521JB,JFK,SAN,354,2446,01-01-2013 08:00,Jetblue Airways,01-01-2013,08:21:00 AM,11:53:00 AM,Delayed,Long Haul
-4,-13,MQ,4418,N846MQ,JFK,DCA,52,213,01-01-2013 08:00,Envoy Air,01-01-2013,08:21:00 AM,09:32:00 AM,On Time,Short Haul
-8,-2,EV,4104,N12540,LGA,CLE,91,419,01-01-2013 08:00,Expressjet Airlines Inc.,01-01-2013,08:22:00 AM,10:14:00 AM,On Time,Short Haul
-2,-5,US,487,N655AW,JFK,CLT,96,541,01-01-2013 08:00,Us Airways Inc.,01-01-2013,08:23:00 AM,10:19:00 AM,On Time,Medium  Haul
0,16,UA,1223,N39728,EWR,DFW,250,1372,01-01-2013 08:00,United Air Lines Inc.,01-01-2013,08:23:00 AM,11:51:00 AM,On Time,Medium  Haul
-6,2,AA,1855,N573AA,LGA,STL,169,888,01-01-2013 08:00,American Airlines Inc.,01-01-2013,08:24:00 AM,10:27:00 AM,On Time,Medium  Haul
-2,-7,B6,611,N292JB,JFK,JAX,130,828,01-01-2013 08:00,Jetblue Airways,01-01-2013,08:25:00 AM,10:58:00 AM,On Time,Medium  Haul
71,51,AA,443,N3GVAA,JFK,MIA,160,1089,01-01-2013 07:00,American Airlines Inc.,01-01-2013,08:26:00 AM,11:36:00 AM,Delayed,Medium  Haul
9,-13,UA,1480,N76522,EWR,SFO,357,2565,01-01-2013 08:00,United Air Lines Inc.,01-01-2013,08:26:00 AM,11:45:00 AM,Delayed,Long Haul
-2,15,B6,905,N274JB,JFK,ORD,160,740,01-01-2013 08:00,Jetblue Airways,01-01-2013,08:28:00 AM,10:27:00 AM,On Time,Medium  Haul
5,7,UA,1506,N76528,EWR,LAX,359,2454,01-01-2013 08:00,United Air Lines Inc.,01-01-2013,08:28:00 AM,11:50:00 AM,Delayed,Long Haul
-1,-8,UA,443,N554UA,JFK,LAX,360,2475,01-01-2013 08:00,United Air Lines Inc.,01-01-2013,08:29:00 AM,11:52:00 AM,On Time,Long Haul
-1,-23,UA,1592,N75425,EWR,MCO,145,937,01-01-2013 08:00,United Air Lines Inc.,01-01-2013,08:29:00 AM,11:17:00 AM,On Time,Medium  Haul
0,3,AA,313,N4YCAA,LGA,ORD,137,733,01-01-2013 08:00,American Airlines Inc.,01-01-2013,08:30:00 AM,10:18:00 AM,On Time,Medium  Haul
-5,-13,MQ,4610,N513MQ,LGA,ATL,123,762,01-01-2013 08:00,Envoy Air,01-01-2013,08:30:00 AM,10:52:00 AM,On Time,Medium  Haul
-4,-18,EV,4412,N13969,EWR,MYR,92,550,01-01-2013 08:00,Expressjet Airlines Inc.,01-01-2013,08:31:00 AM,10:21:00 AM,On Time,Medium  Haul
-8,-24,MQ,4521,N725MQ,LGA,RDU,77,431,01-01-2013 08:00,Envoy Air,01-01-2013,08:32:00 AM,10:06:00 AM,On Time,Short Haul
-2,32,F9,835,N203FR,LGA,DEN,257,1620,01-01-2013 08:00,Frontier Airlines Inc.,01-01-2013,08:33:00 AM,11:34:00 AM,On Time,Long Haul
0,20,AA,717,N3BDAA,LGA,DFW,249,1389,01-01-2013 08:00,American Airlines Inc.,01-01-2013,08:35:00 AM,12:10:00 PM,On Time,Medium  Haul
-11,-8,MQ,4558,N711MQ,LGA,CLE,88,419,01-01-2013 08:00,Envoy Air,01-01-2013,08:39:00 AM,10:27:00 AM,On Time,Short Haul
-5,-39,AA,1357,N5FSAA,JFK,SJU,188,1598,01-01-2013 08:00,American Airlines Inc.,01-01-2013,08:40:00 AM,01:11:00 PM,On Time,Long Haul
-5,-9,DL,2304,N926DL,JFK,DTW,108,509,01-01-2013 08:00,Delta Air Lines Inc.,01-01-2013,08:40:00 AM,10:53:00 AM,On Time,Medium  Haul
1,-27,B6,553,N564JB,EWR,RSW,157,1068,01-01-2013 08:00,Jetblue Airways,01-01-2013,08:46:00 AM,11:38:00 AM,Delayed,Medium  Haul
853,851,MQ,3944,N942MQ,JFK,BWI,41,184,01-01-2013 18:00,Envoy Air,01-01-2013,08:48:00 AM,10:01:00 AM,Delayed,Short Haul
-3,19,UA,1741,N27724,EWR,JAC,275,1874,01-01-2013 08:00,United Air Lines Inc.,01-01-2013,08:48:00 AM,11:55:00 AM,On Time,Long Haul
0,-4,EV,4548,N19966,EWR,RDU,75,416,01-01-2013 08:00,Expressjet Airlines Inc.,01-01-2013,08:51:00 AM,10:32:00 AM,On Time,Short Haul
-8,-3,DL,869,N361NB,EWR,DTW,106,488,01-01-2013 08:00,Delta Air Lines Inc.,01-01-2013,08:51:00 AM,11:02:00 AM,On Time,Short Haul
11,9,UA,1626,N39297,EWR,SAN,367,2425,01-01-2013 08:00,United Air Lines Inc.,01-01-2013,08:51:00 AM,12:15:00 PM,Delayed,Long Haul
-3,26,WN,3848,N777QC,EWR,MDW,146,711,01-01-2013 08:00,Southwest Airlines Co.,01-01-2013,08:52:00 AM,10:46:00 AM,On Time,Medium  Haul
8,2,B6,59,N184JB,JFK,TPA,159,1005,01-01-2013 08:00,Jetblue Airways,01-01-2013,08:53:00 AM,11:47:00 AM,Delayed,Medium  Haul
-4,-2,DL,1747,N646DL,LGA,ATL,129,762,01-01-2013 08:00,Delta Air Lines Inc.,01-01-2013,08:55:00 AM,11:43:00 AM,On Time,Medium  Haul
-4,6,AA,1,N324AA,JFK,LAX,358,2475,01-01-2013 09:00,American Airlines Inc.,01-01-2013,08:56:00 AM,12:26:00 PM,On Time,Long Haul
